ofiii直播,#genre#
陳漢典閃婚Lulu！徐乃麟驚吐「要跟他們學」 本尊反模仿「不錄了」大讚：演藝圈中最佩服,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80285-000000M001&sd=1080&proxy=true
金鐘國閃婚《RM》成員第一反應曝光！ 哈哈嚇到石化 池錫辰打死不信：你是新娘嗎？,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80284-000000M001&sd=1080&proxy=true
紅色炸彈連環爆！演藝圈喜事盤點 典LU cp 最震驚 她們都晉升最美媽咪~,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80283-000000M001&sd=1080&proxy=true
天王GD又來了！親宣佈11月登大巨蛋 2個月前開唱早就預告？手比「4」是這意思,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80282-000000M001&sd=1080&proxy=true
陳漢典宣佈結婚Lulu！康熙同步送祝福 蔡康永以為是宣傳？小S狂虧「覺得很可憐」,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80281-000000M001&sd=1080&proxy=true
憲哥2百萬紅包助攻！Lulu 陳漢典宣布結婚 放閃「找到最有默契的彼此」笑：不是整人,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80280-000000M001&sd=1080&proxy=true
憲哥200萬準備！2年前放話「典Lu」結婚就包 陳漢典昔嘴硬「怎麼可能互相傷害」也被翻,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80279-000000M001&sd=1080&proxy=true
宋芸樺說溜嘴寶寶性別？連晨翔才是第一爆雷！ 劉品言真實反映曝光：不理她96小時,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80278-000000M001&sd=1080&proxy=true
【韩国现场】Netflix <妳和其餘的一切>製作發佈會  金高銀 朴智賢,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80277-000000M001&sd=1080&proxy=true
PRADA魔咒又發威！坂口健太郎爆三角戀風波 有同居女友還「劈腿永野芽郁」公司回應了,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80257-000000M001&sd=1080&proxy=true
小禎認愛小7歲「台版大谷翔平」！ 節目大聊姐弟戀 做菜日常沒在藏,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80259-000000M001&sd=1080&proxy=true
謝欣穎 王柏傑4年戀情告吹！ 親證實「已經沒有聯絡」時間點曝光,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80260-000000M001&sd=1080&proxy=true
i-dle雨琦快閃101！繞場飯撒超寵粉 來10多次自稱「台北通」：不用舒華推薦~,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80258-000000M001&sd=1080&proxy=true
夏目友人帳,#genre#
第1季第1集 貓與友人帳,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010001M001&sd=1080&proxy=true
第1季第2集 露神的祠堂,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010002M001&sd=1080&proxy=true
第1季第3集 八原的怪人,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010003M001&sd=1080&proxy=true
第1季第4集 時雨與少女,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010004M001&sd=1080&proxy=true
第1季第5集 心之色的車票,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010005M001&sd=1080&proxy=true
第1季第6集 水底的燕子,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010006M001&sd=1080&proxy=true
第1季第7集 小狐狸的帽子,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010007M001&sd=1080&proxy=true
第1季第8集 虛幻的光芒,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010008M001&sd=1080&proxy=true
第1季第9集 詭異的除妖師,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010009M001&sd=1080&proxy=true
第1季第10集 淺蔥的琴,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010010M001&sd=1080&proxy=true
第1季第11集 貓咪老師蹓躂記,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010011M001&sd=1080&proxy=true
第1季第12集 五日印,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010012M001&sd=1080&proxy=true
第1季第13集 秋之夜宴,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-010013M001&sd=1080&proxy=true
第2季第1集 被奪走的友人帳,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020001M001&sd=1080&proxy=true
第2季第2集 融化於暖春,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020002M001&sd=1080&proxy=true
第2季第3集 妖怪退治溫泉行,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020003M001&sd=1080&proxy=true
第2季第4集 雛鳥孵化,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020004M001&sd=1080&proxy=true
第2季第5集 約定之樹,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020005M001&sd=1080&proxy=true
第2季第6集 少女的陣法,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020006M001&sd=1080&proxy=true
第2季第7集 不可呼喚,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020007M001&sd=1080&proxy=true
第2季第8集 不死的心願,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020008M001&sd=1080&proxy=true
第2季第9集 櫻樹樹林裡的他,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020009M001&sd=1080&proxy=true
第2季第10集 暫居的家,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020010M001&sd=1080&proxy=true
第2季第11集 咒術師的聚會,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020011M001&sd=1080&proxy=true
第2季第12集 廢屋的少年,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020012M001&sd=1080&proxy=true
第2季第13集 人與妖,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-020013M001&sd=1080&proxy=true
第3季第1集 妖怪之名,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030001M001&sd=1080&proxy=true
第3季第2集 浮春之鄉,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030002M001&sd=1080&proxy=true
第3季第3集 虛偽的朋友,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030003M001&sd=1080&proxy=true
第3季第4集 童年時光,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030004M001&sd=1080&proxy=true
第3季第5集 藏身於倉庫之物,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030005M001&sd=1080&proxy=true
第3季第6集 非人之物,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030006M001&sd=1080&proxy=true
第3季第7集 除妖人,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030007M001&sd=1080&proxy=true
第3季第8集 小狐狸的手錶,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030008M001&sd=1080&proxy=true
第3季第9集 迎著秋風,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030009M001&sd=1080&proxy=true
第3季第10集 破碎的鏡子,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030010M001&sd=1080&proxy=true
第3季第11集 所映之物,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030011M001&sd=1080&proxy=true
第3季第12集 依歸之處,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030012M001&sd=1080&proxy=true
第3季第13集 夏目遊戲帳(完),http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-030013M001&sd=1080&proxy=true
第4季第1集 被綁架的夏目,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040001M001&sd=1080&proxy=true
第4季第2集 東方森林,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040002M001&sd=1080&proxy=true
第4季第3集 小東西,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040003M001&sd=1080&proxy=true
第4季第4集 代答,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040004M001&sd=1080&proxy=true
第4季第5集 給過去的你,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040005M001&sd=1080&proxy=true
第4季第6集 玻璃的另一端,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040006M001&sd=1080&proxy=true
第4季第7集 人與妖的夾縫之間,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040007M001&sd=1080&proxy=true
第4季第8集 迷惘時光,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040008M001&sd=1080&proxy=true
第4季第9集 月分祭,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040009M001&sd=1080&proxy=true
第4季第10集 受人祭拜之神,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040010M001&sd=1080&proxy=true
第4季第11集 一張照片,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040011M001&sd=1080&proxy=true
第4季第12集 記憶之門,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040012M001&sd=1080&proxy=true
第4季第13集 遙遠的歸途(完),http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-040013M001&sd=1080&proxy=true
第5季第1集 不變的身影,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050001M001&sd=1080&proxy=true
第5季第2集 惡作劇之雨,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050002M001&sd=1080&proxy=true
第5季第3集 除妖人的來信,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050003M001&sd=1080&proxy=true
第5季第4集 連鎖背後,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050004M001&sd=1080&proxy=true
第5季第5集 不該連結,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050005M001&sd=1080&proxy=true
第5季第6集 無聲谷,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050006M001&sd=1080&proxy=true
第5季第7集 遙遠祭火,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050007M001&sd=1080&proxy=true
第5季第8集 無邪的世界,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050008M001&sd=1080&proxy=true
第5季第9集 踏上險峻之路,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii174@vod8760-050009M001&sd=1080&proxy=true
